time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
2.074321985399991274e+07 -3.381295408499108701e-01 -1.595517005195196791e+00 4.772409260670845699e-01 8.262757178531778379e+00 -4.085948962646921423e-01 5.442254189805294295e+00 3.108398437500000000e+01 3.008137047290802002e-01 1.064428329467773438e+00 1.040493369102478027e+00 1.248758845031255720e-02 1.286324858665466864e-01 3.659432232379912775e-01 9.216199517250061035e-01
2.075155285399991274e+07 -3.417142596206302341e-01 -1.630047784486764240e+00 4.942164097433315306e-01 8.142743263158346068e+00 -3.628214455665962346e-01 5.356909040898366392e+00 3.108398437500000000e+01 3.002563714981079102e-01 1.063588023185729980e+00 1.041352629661560059e+00 8.951564319431780034e-03 1.224681138992309570e-01 3.663080036640167236e-01 9.223556518554687500e-01
2.075988685399991274e+07 -3.288063775042791570e-01 -1.684833576737946759e+00 5.255731446255822448e-01 8.250755786994435681e+00 -2.399945464168717069e-01 5.255429856277227252e+00 3.112500000000000000e+01 2.996735870838164728e-01 1.062734961509704368e+00 1.042200565338134766e+00 5.248970352113192274e-03 1.160844266414642750e-01 3.666405379772185724e-01 9.230772852897645153e-01
2.076821985399991274e+07 -2.720688479004340632e-01 -1.708738529137616036e+00 5.519773170820596597e-01 8.206350638306265211e+00 -9.788545397115731850e-02 5.042028731106331207e+00 3.108789062500000000e+01 2.990775108337402344e-01 1.061859965324401855e+00 1.043031334877013938e+00 1.490924740210231025e-03 1.094622462987900335e-01 3.669847846031188965e-01 9.237628579139708362e-01
2.077655285399991274e+07 -2.467786735969330070e-01 -1.722267924319297538e+00 5.593024474027025184e-01 7.987925312326622063e+00 1.237217994910569940e-01 4.883913815996305807e+00 3.108789062500000000e+01 2.984445989131927490e-01 1.061000943183898704e+00 1.043839573860168457e+00 -2.577358391135986526e-03 1.026296913623810370e-01 3.673830032348632812e-01 9.243864417076108619e-01
2.078488585399991274e+07 -1.788321757729542383e-01 -1.717137094232775496e+00 5.748479660424993254e-01 7.752698038194699492e+00 3.718247348740385538e-01 4.768342294529195335e+00 3.111718750000000000e+01 2.978664040565490723e-01 1.060121893882751465e+00 1.044584870338439941e+00 -6.661893334239776809e-03 9.575159847736368357e-02 3.677056729793548584e-01 9.249756336212158203e-01
2.079321985399991274e+07 -1.071651941224438243e-01 -1.629360850708201136e+00 5.569911966048534113e-01 7.187432496785842062e+00 3.345428672267786174e-01 4.591647661160256355e+00 3.111328125000000000e+01 2.971858382225036621e-01 1.059323430061340332e+00 1.045333266258239524e+00 -1.041397918015724011e-02 8.872442692518241192e-02 3.685806095600128174e-01 9.252933859825134277e-01
2.080155285399991274e+07 -5.900069408190387193e-02 -1.562238708866363623e+00 5.412271295819102157e-01 7.257040567702431666e+00 7.320773857136163298e-02 4.530837263325421027e+00 3.111328125000000000e+01 2.964846491813660223e-01 1.058415293693542480e+00 1.045850515365600364e+00 -1.385989878326659985e-02 8.279871195554740215e-02 3.693490326404572088e-01 9.254909753799436256e-01
2.080988585399991274e+07 9.670633695316618178e-03 -1.517403002313669536e+00 4.829240414331624764e-01 8.389971928827613112e+00 3.818173208270003727e-02 4.666756122391674033e+00 3.108007812500000000e+01 2.958065271377563477e-01 1.057585000991821289e+00 1.046489715576171875e+00 -1.725286804139625207e-02 7.626708596944814511e-02 3.703627884387969416e-01 9.255900979042051002e-01
2.081821985399991274e+07 6.183517139439957677e-02 -1.484624949228211976e+00 3.893463703228262629e-01 7.695091358815452587e+00 -4.364685941910361605e-02 4.255588676275892546e+00 3.116796875000000000e+01 2.951923310756683350e-01 1.056698083877563477e+00 1.047008991241455078e+00 -2.047457918524736228e-02 7.017890363931658659e-02 3.712406158447265625e-01 9.256544113159180798e-01
2.082655285399991274e+07 7.787014976702338886e-02 -1.444177249504667859e+00 3.558939262677576210e-01 7.125025260791660209e+00 1.900348182140556286e-01 4.041225565621201277e+00 3.116796875000000000e+01 2.945663034915924072e-01 1.055889725685119629e+00 1.047556996345520020e+00 -2.329977042973041187e-02 6.380297988653188535e-02 3.724298775196075439e-01 9.255713224411009632e-01
