time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.774170933229999542e+08 -1.223823542753522675e+00 -5.766388637730024413e-01 -2.453602501824436732e-01 8.350367336754381142e+00 3.295764059246281796e+00 3.303399570241078109e+00 2.950585937500000000e+01 -8.431831002235411487e-01 -1.100211620330810325e+00 1.815512180328368697e+00 -2.404897660017012717e-01 -1.697879135608673651e-01 -9.285941720008850098e-01 -2.259411960840224665e-01 1.486932766126415686e+02 5.599417623870576399e+00 -4.485847448471763643e-02
1.774254273229999542e+08 -1.212047980266973912e+00 -5.742929730647130526e-01 -2.414329751773888477e-01 8.339566084370773069e+00 3.228325322203314585e+00 3.289471579890208996e+00 2.950585937500000000e+01 -8.448087573051452637e-01 -1.089345574378967285e+00 1.813099622726440430e+00 -2.406246960163116455e-01 -1.688831597566605724e-01 -9.273595213890072353e-01 -2.314791530370712003e-01 1.491329907267936790e+02 5.648833712159381015e+00 -3.261845026503209372e-02
1.774337603229999542e+08 -1.185809717257590323e+00 -5.695734951862326811e-01 -2.370887372721585673e-01 8.355167893369317866e+00 3.158475650018426339e+00 3.402141321448940214e+00 2.957617187500000000e+01 -8.462323546409608044e-01 -1.078494429588317871e+00 1.810620784759520818e+00 -2.408785820007323941e-01 -1.679153293371201672e-01 -9.260699152946472168e-01 -2.370158135890960693e-01 1.495732327599882865e+02 5.698460753439384519e+00 -2.013975569192013454e-02
1.774420933229999542e+08 -1.168370798608791006e+00 -5.669570864825485002e-01 -2.240836791121155469e-01 8.359968449984256367e+00 3.258430500271248142e+00 3.503132396695749051e+00 2.956250000000000000e+01 -8.474665284156798206e-01 -1.067673683166503906e+00 1.808125138282776101e+00 -2.415567934513091486e-01 -1.665619909763337847e-01 -9.244782328605649635e-01 -2.434079349040984830e-01 1.500140554667768242e+02 5.748317526890086349e+00 -7.414301143129685932e-03
1.774504263229999542e+08 -1.161243508087492771e+00 -5.608940170612549680e-01 -2.147561696734762715e-01 8.404373598672425061e+00 3.284920678522460946e+00 3.480167607223312753e+00 2.955859375000000000e+01 -8.485195636749267578e-01 -1.056820750236511230e+00 1.805587887763976829e+00 -2.421181201934814731e-01 -1.653020828962327715e-01 -9.229348897933959961e-01 -2.494896799325942716e-01 1.504554633056528417e+02 5.798403321307430858e+00 5.552015053106594197e-03
1.774587603229999542e+08 -1.155540840960179949e+00 -5.459655130260662181e-01 -1.842278780613176015e-01 8.435577216669518208e+00 3.369217508078603540e+00 3.511438621486334455e+00 2.954101562500000000e+01 -8.493862748146057129e-01 -1.045885086059570312e+00 1.802972555160522461e+00 -2.422257512807846069e-01 -1.640206873416902300e-01 -9.217531085014344372e-01 -2.545489370822906494e-01 1.508975111319475104e+02 5.848732078265683754e+00 1.876487666604201646e-02
1.774670933229999542e+08 -1.165274415535245245e+00 -5.288072450178369355e-01 -1.492837695842851031e-01 8.532788488121996195e+00 3.465551207354612639e+00 3.439510686393040473e+00 2.955078125000000000e+01 -8.501015901565550648e-01 -1.034966349601745605e+00 1.800341606140136719e+00 -2.422870099544524869e-01 -1.627433001995088335e-01 -9.205725193023680530e-01 -2.595339715480804443e-01 1.513401017640735233e+02 5.899298770896511002e+00 3.221247673482448975e-02
1.774754273229999542e+08 -1.176502092508525221e+00 -5.191225951076288148e-01 -1.263945721564858071e-01 8.587994889193774739e+00 3.523351707499452701e+00 3.355251657307122493e+00 2.955078125000000000e+01 -8.506739139556883655e-01 -1.024089455604553223e+00 1.797683954238891602e+00 -2.419851422309875211e-01 -1.617395728826523937e-01 -9.194439649581906959e-01 -2.643980383872984730e-01 1.517833439459116391e+02 5.950118269848901242e+00 4.589181965312889855e-02
1.774837603229999542e+08 -1.215142177797908785e+00 -4.960609143053833492e-01 -8.022127008313373331e-02 8.757214509870310692e+00 3.672667274089139955e+00 3.241154451453781782e+00 2.954296875000000000e+01 -8.510989546775817871e-01 -1.013212203979491965e+00 1.795010209083557129e+00 -2.416357100009918490e-01 -1.605865359306336282e-01 -9.183079004287715286e-01 -2.693229615688324530e-01 1.522271468736183806e+02 6.001191866357906690e+00 5.979060797451839215e-02
1.774920933229999542e+08 -1.257190439667156268e+00 -4.794064298896889564e-01 -2.837755273485848689e-02 8.919233295624440672e+00 3.752135218880635836e+00 3.171859730330364613e+00 2.960351562500000000e+01 -8.514039516448974609e-01 -1.002336859703063965e+00 1.792346239089965820e+00 -2.411040812730788907e-01 -1.594443768262863714e-01 -9.171594977378845215e-01 -2.743441462516784668e-01 1.526715747681781465e+02 6.052528766050787823e+00 7.390724083742167272e-02
1.775004263229999542e+08 -1.277730282793883010e+00 -4.720773991095371103e-01 -5.141940640179207614e-03 8.955237470236470543e+00 3.846065860816247017e+00 3.118417424333499000e+00 2.960351562500000000e+01 -8.516104221343994141e-01 -9.914605617523192249e-01 1.789687395095825195e+00 -2.404780238866806030e-01 -1.582198739051819958e-01 -9.159981012344358131e-01 -2.794358134269714355e-01 1.531166257545235112e+02 6.104135993503773783e+00 8.823855765453191002e-02
1.775087603229999542e+08 -1.315343140881730433e+00 -4.617944851994927880e-01 5.177202103839927821e-02 8.987641227387296539e+00 4.080897645579555366e+00 3.044979644709024491e+00 2.962109375000000000e+01 -8.517065048217772327e-01 -9.805868864059448242e-01 1.787033557891845703e+00 -2.396976947784423551e-01 -1.568638682365418036e-01 -9.148655533790588379e-01 -2.845343649387360174e-01 1.535623555533691160e+02 6.156041026299376995e+00 1.027805477162230113e-01
1.775170933229999542e+08 -1.339491748146447225e+00 -4.534426668838428820e-01 1.005288637427345644e-01 9.033246515229198081e+00 4.221794363888593971e+00 3.071323823292029687e+00 2.954101562500000000e+01 -8.517185449600219727e-01 -9.697096347808835670e-01 1.784406781196594238e+00 -2.387619018554687222e-01 -1.554441154003143311e-01 -9.137318730354306862e-01 -2.896962761878967285e-01 1.540086606734628560e+02 6.208237862552239861e+00 1.175349641610858031e-01
1.775254263229999542e+08 -1.340414684084062058e+00 -4.492140238683308140e-01 1.236094698828649613e-01 9.008043593000778060e+00 4.279602094344416408e+00 3.071649314358954275e+00 2.953906250000000000e+01 -8.516598343849182129e-01 -9.588240385055538662e-01 1.781797051429748313e+00 -2.375516593456268033e-01 -1.540890038013460472e-01 -9.126590490341184303e-01 -2.947527766227722168e-01 1.544555904270642657e+02 6.260733876672184728e+00 1.325026838226043280e-01
1.775337603229999542e+08 -1.336882032642061624e+00 -4.378213495369456809e-01 1.656984995656153870e-01 9.047648185074010030e+00 4.363898168494932506e+00 3.105154738486871846e+00 2.953906250000000000e+01 -8.514913320541384056e-01 -9.480241537094115101e-01 1.779199481010437012e+00 -2.363595515489578525e-01 -1.524067223072052280e-01 -9.113789796829223633e-01 -3.004907667636871338e-01 1.549032036367326555e+02 6.313542232787886732e+00 1.476890462996514053e-01
1.775420933229999542e+08 -1.319380248300967562e+00 -4.309809420830413851e-01 2.036546470040532797e-01 9.086052637993507375e+00 4.455420033590407947e+00 3.165712304931718180e+00 2.955273437500000000e+01 -8.512327075004577637e-01 -9.371640682220458984e-01 1.776618123054504395e+00 -2.350673228502272727e-01 -1.506599336862564642e-01 -9.102926850318908691e-01 -3.056339621543884277e-01 1.553513953581974363e+02 6.366656791231068979e+00 1.630954996917667599e-01
1.775504273229999542e+08 -1.308060717023559194e+00 -4.278292133214843806e-01 2.204654635727098522e-01 9.105254864453257824e+00 4.497568124623210650e+00 3.141915512954996714e+00 2.955273437500000000e+01 -8.508979082107543945e-01 -9.262984991073608398e-01 1.774086713790893555e+00 -2.336826771497726440e-01 -1.487934887409212426e-01 -9.092343449592590332e-01 -3.107181787490844727e-01 1.558002739800715801e+02 6.420091587046252712e+00 1.787212122029147032e-01
1.775587603229999542e+08 -1.278547000598292405e+00 -4.197818320824995286e-01 2.585914093080098897e-01 9.123256951759271871e+00 4.608360312354852439e+00 3.145144494647350797e+00 2.954296875000000000e+01 -8.504856228828430176e-01 -9.154436588287352405e-01 1.771613240242004395e+00 -2.321088612079620361e-01 -1.469540297985077459e-01 -9.081771969795225941e-01 -3.158227801322936457e-01 1.562497328367322211e+02 6.473843798523168047e+00 1.945635441356686202e-01
1.775670933229999542e+08 -1.245371846287391060e+00 -4.108256915157307843e-01 2.913196822900636640e-01 9.191664883522125962e+00 4.746846419267236605e+00 3.175875120210998936e+00 2.960546875000000000e+01 -8.499957919120787464e-01 -9.045970439910887562e-01 1.769191265106201172e+00 -2.304136753082275946e-01 -1.450417339801789995e-01 -9.071692228317260742e-01 -3.208060562610626221e-01 1.566998323274758320e+02 6.527930433902394469e+00 2.106274722586214398e-01
1.775754263229999542e+08 -1.224741736078654775e+00 -4.035833193633884264e-01 3.080504146439465019e-01 9.230069336441623307e+00 4.815486954768127603e+00 3.238793689673928000e+00 2.960546875000000000e+01 -8.494464755058286354e-01 -8.937495946884155273e-01 1.766843795776367188e+00 -2.286596745252608698e-01 -1.430136412382128075e-01 -9.062311053276062012e-01 -3.255871534347534180e-01 1.571505740773608295e+02 6.582353834507016721e+00 2.269184831148659265e-01
1.775837603229999542e+08 -1.174182442116722402e+00 -3.956710670787360606e-01 3.320521302317743229e-01 9.305678103126888701e+00 4.880511303386318112e+00 3.312952585009287798e+00 2.956445312500000000e+01 -8.488186597824094459e-01 -8.829221725463867188e-01 1.764550924301147461e+00 -2.268437296152114868e-01 -1.408889293670655962e-01 -9.053633213043208450e-01 -3.301656842231750488e-01 1.576020189136522163e+02 6.637125023024372794e+00 2.434441408041138066e-01
1.775920933229999542e+08 -1.107718561479446695e+00 -3.928363885161713642e-01 3.422453290599697384e-01 9.281675320052194422e+00 4.896169108252819591e+00 3.347371592204908097e+00 2.955468750000000000e+01 -8.481224179267883301e-01 -8.721154332160947487e-01 1.762346267700195090e+00 -2.249972373247146329e-01 -1.387723833322525580e-01 -9.045402407646178089e-01 -3.345524966716766357e-01 1.580540532179836646e+02 6.692230147363737558e+00 2.602014345428985687e-01
1.776004273229999542e+08 -1.068731194803971496e+00 -3.903743710726332861e-01 3.456840622052059775e-01 9.306878242280621549e+00 4.869672670926427749e+00 3.356437375914611110e+00 2.957812500000000000e+01 -8.473470211029052734e-01 -8.613342046737670898e-01 1.760208964347839133e+00 -2.231959700584411899e-01 -1.366000324487687267e-01 -9.037739634513856091e-01 -3.386985957622528076e-01 1.585067890969226312e+02 6.747679210645379122e+00 2.771941912445150535e-01
1.776087603229999542e+08 -9.907778244785715449e-01 -3.920546247576572885e-01 3.415670892358407262e-01 9.298477268204480950e+00 4.787782351993544516e+00 3.317794843482100742e+00 2.957226562500000000e+01 -8.464836478233337402e-01 -8.505837321281433105e-01 1.758138656616210715e+00 -2.214396446943283081e-01 -1.344232261180879906e-01 -9.030488133430482067e-01 -3.426335453987121027e-01 1.589601159973786935e+02 6.803451215383117479e+00 2.944139373344496491e-01
1.776170933229999542e+08 -9.135869384437311780e-01 -3.928259245771764663e-01 3.280629693020247206e-01 9.340482138585180394e+00 4.703478939616954513e+00 3.156191398861306396e+00 2.959570312500000000e+01 -8.455320596694945179e-01 -8.398649692535400391e-01 1.756144165992736816e+00 -2.197584509849548895e-01 -1.322752237319947954e-01 -9.023621678352354847e-01 -3.463410139083862305e-01 1.594140929489229279e+02 6.859546897505210516e+00 3.118472350667659820e-01
1.776254263229999542e+08 -8.753592692340067538e-01 -3.926356219415303994e-01 3.215815587457569458e-01 9.342882416892649644e+00 4.621587649448268387e+00 3.176178219268440017e+00 2.959570312500000000e+01 -8.444733619689939186e-01 -8.291668295860289417e-01 1.754197239875793457e+00 -2.182279825210571289e-01 -1.300124078989030041e-01 -9.017434120178220436e-01 -3.497600555419921875e-01 1.598687187431786185e+02 6.915960654318992873e+00 3.295017770171961846e-01
1.776337603229999542e+08 -8.013788858479864441e-01 -3.962677450855702221e-01 2.981778042905929849e-01 9.303277824819415898e+00 4.514410245703168734e+00 3.101536979181323872e+00 2.953515625000000000e+01 -8.433471322059630237e-01 -8.184820413589475319e-01 1.752363324165344238e+00 -2.167931199073791504e-01 -1.278201341629029431e-01 -9.011718630790710449e-01 -3.529194593429565430e-01 1.603240439225981504e+02 6.972691029153089026e+00 3.473712776834684823e-01
1.776420933229999542e+08 -7.376805173227120038e-01 -3.976584103546452198e-01 2.812949715131108919e-01 9.342882416892649644e+00 4.380731548452657442e+00 3.098692705392750213e+00 2.958593750000000000e+01 -8.421201705932617188e-01 -8.078232407569885254e-01 1.750589370727539062e+00 -2.154765874147415161e-01 -1.256885975599291161e-01 -9.006295204162595436e-01 -3.558631539344787043e-01 1.607799645630293526e+02 7.029714129959105051e+00 3.654536922858493964e-01
1.776504263229999542e+08 -7.085273146575409298e-01 -3.986551339536210659e-01 2.730098849477080036e-01 9.353683669276257717e+00 4.377117735701919976e+00 3.132636225585462952e+00 2.958593750000000000e+01 -8.408191204071044922e-01 -7.971869111061096191e-01 1.748879671096801536e+00 -2.142480909824371893e-01 -1.235411167144776362e-01 -9.001358151435853161e-01 -3.585958778858184814e-01 1.612365350878760637e+02 7.087041047488138901e+00 3.837548121675415924e-01
