time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
2.735787655419998169e+08 -6.845326135880977492e-02 -1.847039135126567894e-02 -7.133586012866543688e-03 9.413690626962974761e+00 4.511578937190005023e-01 -2.243659614572552918e+00 1.987500000000000000e+01 -2.413257509469985684e-01 1.071458220481872337e+00 2.041022539138793057e+00 -3.298040479421610049e-02 -2.792812585830687921e-01 3.123311400413512628e-01 9.073938131332396351e-01 8.375896143788901391e+05 4.548234870475307252e+04 -1.573002804682415153e+05
2.735870995419998169e+08 -7.973001327166218122e-02 -1.505422154234093216e-02 -5.167945296317933909e-03 9.401689235425628510e+00 5.017387540789716160e-01 -2.149467340134968651e+00 1.983007812500000000e+01 -2.413320839405060092e-01 1.071641683578491211e+00 2.041039705276488814e+00 -3.297299891710270270e-02 -2.794087529182434082e-01 3.120820522308349609e-01 9.074406027793884277e-01 8.376109563356913859e+05 4.548346451100319246e+04 -1.573042518615873123e+05
2.735954325419998169e+08 -8.463247236547211116e-02 -1.449866914251147186e-02 -4.592251034748977452e-03 9.436493270883923756e+00 5.185955516110748453e-01 -2.147607158703022101e+00 1.983007812500000000e+01 -2.413262873888016025e-01 1.071820616722106712e+00 2.041060686111450195e+00 -3.296253457665443420e-02 -2.795304358005523127e-01 3.118039965629577637e-01 9.074990153312685326e-01 8.376322963880915195e+05 4.548458021996113530e+04 -1.573082229274579440e+05
2.736037655419998169e+08 -9.320399493120110068e-02 -1.685996741991050221e-02 -2.373369478157180690e-03 9.466496749727282278e+00 5.149800122189082119e-01 -2.070433721337099797e+00 1.989062500000000000e+01 -2.413125187158584317e-01 1.072005033493041992e+00 2.041084289550780806e+00 -3.295402228832250424e-02 -2.796515524387360174e-01 3.115250468254089355e-01 9.075577855110168457e-01 8.376536370988764102e+05 4.548569596455318970e+04 -1.573121941344177758e+05
2.736120985419998169e+08 -1.051901366294392820e-01 -2.301902414073532868e-02 4.439523061188799594e-03 9.462896332266080179e+00 5.763986417180569921e-01 -2.037493534238204340e+00 1.983593750000000000e+01 -2.412950247526168823e-01 1.072187542915344238e+00 2.041105747222900391e+00 -3.296051919460302182e-02 -2.797720134258270264e-01 3.112103641033172607e-01 9.076284766197203480e-01 8.376749784666292835e+05 4.548681175130214251e+04 -1.573161654817152303e+05
2.736204325419998169e+08 -1.098370821897265565e-01 -2.854317815108067466e-02 5.825322408417481224e-03 9.461696193112343778e+00 5.812158716530583247e-01 -2.037478921004693078e+00 1.983593750000000000e+01 -2.412747293710708896e-01 1.072372317314147949e+00 2.041123151779174805e+00 -3.296922147274011783e-02 -2.798792123794555109e-01 3.108578622341156006e-01 9.077157974243165173e-01 8.376963230526137631e+05 4.548792771248922509e+04 -1.573201374471156450e+05
2.736287655419998169e+08 -1.166734849327873136e-01 -3.959117597240240094e-02 1.072384718160503993e-02 9.486899115340765576e+00 6.089120570506784125e-01 -2.013153737621823147e+00 1.981835937500000000e+01 -2.412575483322143555e-01 1.072562694549560325e+00 2.041136503219604492e+00 -3.300227597355837039e-02 -2.800101339817046564e-01 3.104740977287292480e-01 9.078055620193480335e-01 8.377176657370482571e+05 4.548904358301303000e+04 -1.573241090748564457e+05
2.736370985419998169e+08 -1.232605926222215542e-01 -4.602562892967196340e-02 1.937185116600180848e-02 9.460496053958610929e+00 6.438385658270066036e-01 -2.045718253236720852e+00 1.984375000000000000e+01 -2.412445098161696833e-01 1.072755217552185059e+00 2.041146039962768555e+00 -3.307884559035312311e-02 -2.801530063152312677e-01 3.100573718547821600e-01 9.079011678695678711e-01 8.377390090774922865e+05 4.549015949945690227e+04 -1.573280808457802923e+05
2.736454325419998169e+08 -1.259515167949223080e-01 -5.037771035315564971e-02 1.939870992453487930e-02 9.462896332266080179e+00 6.486554720167400090e-01 -2.101006400089641346e+00 1.986328125000000000e+01 -2.412375509738922119e-01 1.072956562042236328e+00 2.041152238845824751e+00 -3.318502381443966254e-02 -2.803116440773009699e-01 3.096155822277070202e-01 9.079990983009336158e-01 8.377603556366130942e+05 4.549127559503879456e+04 -1.573320532411908207e+05
2.736537655419998169e+08 -1.261762008899483811e-01 -5.301202490352943664e-02 2.557566150201273647e-02 9.429292435961516006e+00 6.028958344500744415e-01 -2.162825928915403928e+00 1.984179687500000000e+01 -2.412307709455490112e-01 1.073165059089660645e+00 2.041154146194458008e+00 -3.331333026289939880e-02 -2.804864346981048584e-01 3.091819584369659424e-01 9.080881476402280494e-01 8.377817002879052889e+05 4.549239159697289870e+04 -1.573360253122738504e+05
2.736620985419998169e+08 -1.242238517992480390e-01 -4.634800934170232867e-02 2.555206733509619160e-02 9.404089513733097760e+00 5.607482829927176171e-01 -2.277665314971371480e+00 1.986914062500000000e+01 -2.412233203649520874e-01 1.073369383811950684e+00 2.041149377822875977e+00 -3.345265984535216591e-02 -2.806386649608611505e-01 3.087012767791748047e-01 9.081995487213134766e-01 8.378030455913320184e+05 4.549350763638139324e+04 -1.573399975455025851e+05
2.736704325419998169e+08 -1.237311163341253406e-01 -4.375155956618064640e-02 2.769184092983947160e-02 9.384887287273347312e+00 5.246215944848050539e-01 -2.334986797600320685e+00 1.986914062500000000e+01 -2.412090301513671875e-01 1.073572278022765891e+00 2.041142225265502930e+00 -3.360849991440778561e-02 -2.807773947715758722e-01 3.081961274147034802e-01 9.083225131034851074e-01 8.378243941075025359e+05 4.549462384490559634e+04 -1.573439704195962986e+05
